student_id,subject_name,classes_held,classes_attended
202507907,Food Production Foundation - II,10,4
202506460,Food Production Foundation - II,10,6
202510749,Food Production Foundation - II,10,0
202508775,Food Production Foundation - II,10,9
202506398,Food Production Foundation - II,10,3
202506446,Food Production Foundation - II,10,7
202506474,Food Production Foundation - II,10,6
202506385,Food Production Foundation - II,10,10
202506365,Food Production Foundation - II,10,3
202506399,Food Production Foundation - II,10,6
202508546,Food Production Foundation - II,10,5
202506402,Food Production Foundation - II,10,10
202506372,Food Production Foundation - II,10,3
202508601,Food Production Foundation - II,10,7
202506435,Food Production Foundation - II,10,6
202507867,Food Production Foundation - II,10,6
202507963,Food Production Foundation - II,10,7
202506465,Food Production Foundation - II,10,4
202506416,Food Production Foundation - II,10,4
202507929,Food Production Foundation - II,10,4
202507894,Food Production Foundation - II,10,9
202506426,Food Production Foundation - II,10,3
202507859,Food Production Foundation - II,10,7
202511113,Food Production Foundation - II,10,0
202506407,Food Production Foundation - II,10,5
202506401,Food Production Foundation - II,10,6
202507885,Food Production Foundation - II,10,2
202506448,Food Production Foundation - II,10,6
202506356,Food Production Foundation - II,10,3
202506482,Food Production Foundation - II,10,5
202506440,Food Production Foundation - II,10,5
202506413,Food Production Foundation - II,10,10
202506428,Food Production Foundation - II,10,4
202506364,Food Production Foundation - II,10,9
202507907,Food & Beverage Service Foundation - II,8,4
202506460,Food & Beverage Service Foundation - II,8,4
202510749,Food & Beverage Service Foundation - II,8,0
202508775,Food & Beverage Service Foundation - II,8,5
202506398,Food & Beverage Service Foundation - II,8,1
202506446,Food & Beverage Service Foundation - II,8,7
202506474,Food & Beverage Service Foundation - II,8,5
202506385,Food & Beverage Service Foundation - II,8,8
202506365,Food & Beverage Service Foundation - II,8,3
202506399,Food & Beverage Service Foundation - II,8,5
202508546,Food & Beverage Service Foundation - II,8,4
202506402,Food & Beverage Service Foundation - II,8,3
202506372,Food & Beverage Service Foundation - II,8,3
202508601,Food & Beverage Service Foundation - II,8,5
202506435,Food & Beverage Service Foundation - II,8,2
202507867,Food & Beverage Service Foundation - II,8,5
202507963,Food & Beverage Service Foundation - II,8,5
202506465,Food & Beverage Service Foundation - II,8,3
202506416,Food & Beverage Service Foundation - II,8,5
202507929,Food & Beverage Service Foundation - II,8,5
202507894,Food & Beverage Service Foundation - II,8,7
202506426,Food & Beverage Service Foundation - II,8,3
202507859,Food & Beverage Service Foundation - II,8,5
202511113,Food & Beverage Service Foundation - II,8,0
202506407,Food & Beverage Service Foundation - II,8,2
202506401,Food & Beverage Service Foundation - II,8,4
202507885,Food & Beverage Service Foundation - II,8,2
202506448,Food & Beverage Service Foundation - II,8,5
202506356,Food & Beverage Service Foundation - II,8,3
202506482,Food & Beverage Service Foundation - II,8,3
202506440,Food & Beverage Service Foundation - II,8,7
202506413,Food & Beverage Service Foundation - II,8,8
202506428,Food & Beverage Service Foundation - II,8,4
202506364,Food & Beverage Service Foundation - II,8,7
202507907,Front Office Foundation - II,10,5
202506460,Front Office Foundation - II,10,7
202510749,Front Office Foundation - II,10,0
202508775,Front Office Foundation - II,10,7
202506398,Front Office Foundation - II,10,4
202506446,Front Office Foundation - II,10,7
202506474,Front Office Foundation - II,10,7
202506385,Front Office Foundation - II,10,10
202506365,Front Office Foundation - II,10,4
202506399,Front Office Foundation - II,10,8
202508546,Front Office Foundation - II,10,5
202506402,Front Office Foundation - II,10,6
202506372,Front Office Foundation - II,10,1
202508601,Front Office Foundation - II,10,7
202506435,Front Office Foundation - II,10,3
202507867,Front Office Foundation - II,10,7
202507963,Front Office Foundation - II,10,6
202506465,Front Office Foundation - II,10,2
202506416,Front Office Foundation - II,10,7
202507929,Front Office Foundation - II,10,7
202507894,Front Office Foundation - II,10,8
202506426,Front Office Foundation - II,10,4
202507859,Front Office Foundation - II,10,7
202511113,Front Office Foundation - II,10,1
202506407,Front Office Foundation - II,10,7
202506401,Front Office Foundation - II,10,5
202507885,Front Office Foundation - II,10,2
202506448,Front Office Foundation - II,10,6
202506356,Front Office Foundation - II,10,2
202506482,Front Office Foundation - II,10,4
202506440,Front Office Foundation - II,10,7
202506413,Front Office Foundation - II,10,6
202506428,Front Office Foundation - II,10,5
202506364,Front Office Foundation - II,10,8
202507907,Housekeeping Skills - II,10,5
202506460,Housekeeping Skills - II,10,7
202510749,Housekeeping Skills - II,10,0
202508775,Housekeeping Skills - II,10,9
202506398,Housekeeping Skills - II,10,3
202506446,Housekeeping Skills - II,10,9
202506474,Housekeeping Skills - II,10,7
202506385,Housekeeping Skills - II,10,10
202506365,Housekeeping Skills - II,10,3
202506399,Housekeeping Skills - II,10,7
202508546,Housekeeping Skills - II,10,6
202506402,Housekeeping Skills - II,10,8
202506372,Housekeeping Skills - II,10,5
202508601,Housekeeping Skills - II,10,7
202506435,Housekeeping Skills - II,10,6
202507867,Housekeeping Skills - II,10,7
202507963,Housekeeping Skills - II,10,7
202506465,Housekeeping Skills - II,10,5
202506416,Housekeeping Skills - II,10,7
202507929,Housekeeping Skills - II,10,7
202507894,Housekeeping Skills - II,10,9
202506426,Housekeeping Skills - II,10,3
202507859,Housekeeping Skills - II,10,5
202511113,Housekeeping Skills - II,10,2
202506407,Housekeeping Skills - II,10,7
202506401,Housekeeping Skills - II,10,6
202507885,Housekeeping Skills - II,10,2
202506448,Housekeeping Skills - II,10,7
202506356,Housekeeping Skills - II,10,5
202506482,Housekeeping Skills - II,10,1
202506440,Housekeeping Skills - II,10,9
202506413,Housekeeping Skills - II,10,10
202506428,Housekeeping Skills - II,10,8
202506364,Housekeeping Skills - II,10,8
202507907,Personality Development and Grooming,8,4
202506460,Personality Development and Grooming,8,5
202510749,Personality Development and Grooming,8,0
202508775,Personality Development and Grooming,8,4
202506398,Personality Development and Grooming,8,2
202506446,Personality Development and Grooming,8,3
202506474,Personality Development and Grooming,8,5
202506385,Personality Development and Grooming,8,8
202506365,Personality Development and Grooming,8,3
202506399,Personality Development and Grooming,8,5
202508546,Personality Development and Grooming,8,3
202506402,Personality Development and Grooming,8,3
202506372,Personality Development and Grooming,8,0
202508601,Personality Development and Grooming,8,4
202506435,Personality Development and Grooming,8,3
202507867,Personality Development and Grooming,8,5
202507963,Personality Development and Grooming,8,5
202506465,Personality Development and Grooming,8,2
202506416,Personality Development and Grooming,8,4
202507929,Personality Development and Grooming,8,3
202507894,Personality Development and Grooming,8,5
202506426,Personality Development and Grooming,8,3
202507859,Personality Development and Grooming,8,3
202511113,Personality Development and Grooming,8,1
202506407,Personality Development and Grooming,8,0
202506401,Personality Development and Grooming,8,2
202507885,Personality Development and Grooming,8,3
202506448,Personality Development and Grooming,8,4
202506356,Personality Development and Grooming,8,2
202506482,Personality Development and Grooming,8,2
202506440,Personality Development and Grooming,8,5
202506413,Personality Development and Grooming,8,5
202506428,Personality Development and Grooming,8,0
202506364,Personality Development and Grooming,8,0
